"","Zipcode","Year","npop","M_under5","M_5to9","M_10to14","M_15to19","M_20to24","M_25to29","M_30to34","M_35to39","M_40to44","M_45to49","M_50to54","M_55to59","M_60to64","M_65to69","M_70to74","M_75to79","M_80over","F_under5","F_5to9","F_10to14","F_15to19","F_20to24","F_25to29","F_30to34","F_35to39","F_40to44","F_45to49","F_50to54","F_55to59","F_60to64","F_65to69","F_70to74","F_75to79","F_80over","White","Hispanic","Unemployed","Bachelor","Crowded_hs","Renters","Rent_burden","Per_capita_income","Poverty","Uninsured","Limited_English","No_vehicle"
"1","01001","2007-2011",16775,466,487,577,535,457,339,343,431,721,654,674,477,410,351,183,310,243,332,467,525,434,495,584,415,498,588,829,562,605,563,316,407,261,596,93.2,3.9,4.1,23.9,0.900000000000006,24.3,48.8,28931,8,NA,3.2,6.9
"2","01002","2007-2011",27684,493,510,387,1935,3980,754,596,552,535,481,676,834,554,472,273,176,135,458,440,557,2125,3612,815,594,482,645,582,810,770,779,413,261,238,361,74.2,6.3,5.4,71,1.5,49.1,30.9,30110,8.5,NA,5.2,9.6
"3","01003","2007-2011",11516,0,0,12,2523,2315,168,9,9,4,13,0,0,0,0,0,0,0,0,0,27,3452,2882,65,23,13,0,0,0,1,0,0,0,0,0,79.3,5.1,7.5,49.2,0,100,100,3483,0,NA,1.3,0
"4","01005","2007-2011",5045,141,131,165,216,87,239,86,38,243,286,195,248,172,101,19,19,34,132,53,203,310,105,85,93,125,275,266,221,271,71,113,39,48,77,97,1.3,7.2,32.3,0.799999999999997,9.5,75.3,33510,2.3,NA,1.2,2.5
"5","01007","2007-2011",14479,480,523,613,673,320,264,282,638,547,530,621,698,378,244,197,60,63,297,519,458,485,237,295,383,653,616,637,735,564,482,348,120,138,107,92.7,2.9,4.1,40,0.599999999999994,20.3,52,32898,2.6,NA,1.2,4.6
"6","01008","2007-2011",1196,7,36,69,22,34,25,32,39,20,69,91,66,49,20,4,10,6,27,16,35,42,21,13,21,33,59,83,65,48,68,21,10,12,6,97.8,0.8,4.1,27.1,0,3.2,80,36374,2.6,NA,1.2,1.5
"7","01009","2007-2011",663,0,29,9,16,16,0,34,62,52,29,25,51,12,11,0,0,0,8,27,7,27,23,0,10,27,50,49,0,41,7,14,0,9,18,96.2,0,22.1,14.8,0,52.1,64.3,29190,0,NA,0,11.8
"8","01010","2007-2011",3582,50,147,81,62,95,26,133,128,158,99,78,273,147,52,33,17,0,129,249,99,50,95,93,118,58,177,189,166,156,83,75,73,48,71,99.6,0.4,6,33.9,1.40000000000001,15.6,35.9,31671,1.2,NA,0.7,5.8
"9","01011","2007-2011",1331,26,32,39,30,21,37,36,31,29,77,76,64,47,31,25,10,12,21,55,46,37,17,59,34,34,41,49,80,91,36,37,28,3,22,98.9,0.3,6,15.4,0.599999999999994,10,37,27671,3.5,NA,0,0.9
"10","01012","2007-2011",509,2,6,32,29,16,23,13,15,8,9,53,19,36,9,3,0,16,4,6,4,18,7,4,19,4,3,22,57,12,21,24,0,0,4,99.2,0.8,6.3,32.2,0,21.4,54.9,30674,3.2,NA,0,5.9
"11","01013","2007-2011",22391,685,792,906,763,1047,589,812,648,822,852,683,672,437,309,301,313,103,671,636,706,646,906,853,892,581,971,691,613,627,549,487,433,294,440,73,21.9,6.4,12.9,2.3,51.4,44.8,20433,15.8,NA,11.4,14.2
"12","01020","2007-2011",30225,713,788,984,1104,811,1024,951,776,1091,1082,1018,1282,936,799,494,311,213,564,981,900,785,714,1012,879,966,851,1292,1241,1090,1270,747,527,503,616,83.1,10.3,5.8,18,1.8,35.6,59.4,26104,6.1,NA,8.4,9.9
"13","01022","2007-2011",2589,53,31,28,275,114,86,103,4,47,71,54,51,64,64,29,48,35,31,92,60,143,141,100,81,0,62,59,180,111,89,60,13,84,26,79,6,13.6,20.4,0,23.6,48,23945,0,NA,3.2,4.5
"14","01026","2007-2011",1100,54,24,15,74,26,21,21,23,28,45,52,47,26,26,22,16,16,16,20,41,39,16,10,31,53,59,34,71,49,33,27,12,19,13,95.2,1.7,3.7,39.6,1.59999999999999,21.7,60,29468,11.8,NA,0.9,2
"15","01027","2007-2011",17641,275,427,500,635,416,690,439,480,739,764,1009,599,565,269,186,194,191,473,412,487,331,499,524,576,610,760,858,913,688,538,363,246,280,272,89.6,2.2,4.7,31.5,0.599999999999994,36,54.2,31204,2.8,NA,4.1,5.2
"16","01028","2007-2011",15555,419,508,591,531,386,422,340,463,506,741,570,494,364,353,214,149,188,462,569,591,419,237,242,347,472,573,613,598,697,382,349,385,306,478,90.5,2.2,3.7,38.9,0.5,13.2,44.5,34417,2.5,NA,1.7,6
"17","01029","2007-2011",577,29,25,25,6,0,35,16,3,32,30,64,32,23,0,10,24,3,0,0,11,6,0,9,0,25,33,28,33,11,19,13,22,3,0,93.6,0,7.6,22.7,0,6,100,38466,12.5,NA,0,0
"18","01030","2007-2011",11633,269,400,344,291,392,377,170,484,462,494,343,561,490,270,135,91,80,172,273,387,519,130,293,224,348,630,490,577,492,506,253,195,187,147,94,1.1,3.9,27.7,1.40000000000001,17.2,48.4,31332,3.9,NA,2,3.6
"19","01031","2007-2011",1524,39,39,85,57,26,38,73,86,22,43,64,15,73,48,12,16,6,30,80,20,46,18,71,25,59,53,88,70,49,48,21,30,13,11,89.1,3.5,8.1,25.2,0,43.8,47.3,28801,17.9,NA,0.3,5.5
"20","01032","2007-2011",681,20,0,31,28,0,9,20,24,70,19,29,20,16,13,14,4,0,23,5,26,40,4,9,49,12,7,53,28,15,27,20,14,8,3,91.2,2.1,2.8,24.8,0,21.7,80.4,28842,0,NA,0.5,2.2
"21","01033","2007-2011",6159,256,184,214,125,98,162,157,146,249,295,203,193,210,146,32,81,42,147,226,135,140,158,131,145,143,319,310,282,215,292,174,148,54,81,94.1,4.6,2.6,27.1,1.2,15.7,33.1,31453,3.1,NA,2.5,3.8
"22","01034","2007-2011",1856,36,59,87,65,63,36,37,66,63,61,83,70,87,78,25,20,6,25,44,67,55,35,11,28,68,68,64,112,78,67,66,30,36,12,97.4,0.4,5.2,33,1,7.8,43.6,33079,1,NA,0.7,1.6
"23","01035","2007-2011",5209,127,141,112,158,226,150,119,102,206,135,169,285,232,155,55,116,53,93,137,190,73,125,176,109,118,175,141,242,155,263,135,132,117,155,93.8,1.6,3.1,42.7,0,30.1,65.7,31727,2,NA,2.6,8.8
"24","01036","2007-2011",5078,15,163,225,224,190,30,33,82,166,392,208,150,211,141,155,80,45,96,84,172,170,47,84,28,108,252,258,197,312,201,121,130,75,75,97.2,0.3,4.9,32.8,1.40000000000001,14,73.4,38375,2.9,NA,2.8,2.8
"25","01037","2007-2011",819,40,23,61,77,38,0,0,14,0,64,46,43,42,13,25,0,0,24,23,12,26,0,6,0,14,7,86,35,15,7,16,0,7,31,93.4,6.6,3,62.2,0,14.5,100,34702,0,NA,0,0
"26","01038","2007-2011",2553,80,115,37,69,13,29,93,56,127,111,183,82,116,67,18,35,12,46,93,90,67,49,62,83,9,119,205,62,105,103,48,69,23,34,98.3,0,4.5,38.1,0,24.2,64,36322,7.2,NA,0.7,5
"27","01039","2007-2011",1470,8,14,34,41,38,49,70,45,38,49,88,84,105,14,13,34,27,38,19,15,33,16,39,20,61,59,53,135,91,71,15,12,10,32,96.9,2.2,2.3,46.8,2.8,22.2,53,38460,3.4,NA,0.3,8
"28","01040","2007-2011",39897,1202,1453,1350,1611,1081,1328,984,1556,929,1468,1411,975,837,681,387,470,374,1450,1899,1201,1254,1498,1569,1260,1339,1479,1553,1419,1070,1272,628,745,568,885,47.1,47.4,8.3,20.4,2.59999999999999,59,43.6,20370,27,NA,17.4,23.1
"29","01050","2007-2011",2656,66,64,79,76,44,60,14,99,103,100,94,160,97,84,41,19,9,77,155,137,72,31,77,89,124,102,81,85,141,73,80,40,34,34,90.6,5.3,3.6,25.7,1.3,23.9,62.3,28779,6.6,NA,0,3.1
